label,T_s,T_over_P,cw_dv_total_m_s,cw_margin_m,cw_safe,nl_terminal_pos_err_m,nl_terminal_vel_err_mm_s,max_cw_vs_nl_pos_dev_m,nl_margin_m,nl_safe,nl_violation_reason,cw_max_y_m,nl_max_y_m
M2 reference,1800.0,0.32411267166875457,1.0645203465440627,-39.41914447883182,False,0.39866264463560797,0.4838470902104452,0.39866264463560797,-39.04614540763641,False,"corridor_violation,koz_violation",-50.0,-50.31590605160302
M3 short-branch minimum,2539.592622,0.45728563870370975,0.6786091976788813,-42.941591530896105,False,0.9645982611728147,0.7642455882269855,0.9645982611728147,-42.07233798385182,False,"corridor_violation,koz_violation",-49.999999999999844,-50.88253024822602
M3 long-branch/global minimum,4868.130154465808,0.8765681502195222,0.163457371330563,-55.93531670493146,False,2.673354149636475,0.22695410478423184,2.673354149636475,-53.49423213707821,False,"corridor_violation,koz_violation,chief_crossing_violation",-39.00374155574957,-41.590742451509726
M4 selected (CW boundary optimum),386.56385551988984,0.06960569110173663,5.052730515305156,3.5072816615411284e-06,True,0.011281694330559982,0.04298144083907147,0.011281694330559982,0.027548402239133907,True,none,-49.999999999999886,-50.002093916592976
M4 practical margin candidate,380.0,0.06842378624118152,5.136022643719936,0.8752190597669625,True,0.01089079142927415,0.04210341253018815,0.01089079142927415,0.9022414877394453,True,none,-50.0,-50.00198566513607
