T_s,dv_total_m_s,cw_margin_m,cw_safe,nl_margin_m,nl_safe
365.0,5.337723453726387,1.9216729799240255,True,1.9198161258391337,True
366.0,5.323757202134804,1.9321127787808194,True,1.9302294418750847,True
367.0,5.309867825615386,1.9425751491552319,True,1.940693573318839,True
368.0,5.29605469117749,1.9530881822584263,True,1.9511578977086685,True
369.0,5.28231717268967,1.9636010915976811,True,1.9616726014718182,True
370.0,5.268654650787095,1.9741639747518036,True,1.9722092937901863,True
371.0,5.2550665127804095,1.9847484522179712,True,1.9827704183839359,True
372.0,5.241552152566118,1.9861926248047581,True,1.9933548060797932,True
373.0,5.228110970538365,1.8445523145700946,True,1.8710345678612867,True
374.0,5.214742373502159,1.7037241305762194,True,1.7302870793517968,True
375.0,5.201445774587982,1.563684336078893,True,1.5903356508805615,True
376.0,5.188220593167738,1.4244572472900643,True,1.4511454872802716,True
377.0,5.175066254772071,1.2859892728386342,True,1.3127871819709327,True
378.0,5.1619821910089785,1.1482942070606441,True,1.1751543892111584,True
379.0,5.148967839483709,1.011376241652144,True,1.0383362203570101,True
380.0,5.136022643719936,0.8752190597669625,True,0.9022414877394453,True
381.0,5.12314605308216,0.7398184364330405,True,0.766948066737811,True
382.0,5.110337522699352,0.6051716352799872,True,0.6323866557409019,True
383.0,5.097596513389762,0.47127272751434646,True,0.49854356308890146,True
384.0,5.084922491586925,0.33811584617434676,True,0.36545994680332683,True
385.0,5.072314929266813,0.20566195493658768,True,0.23309414796928252,True
386.0,5.059773303876116,0.07394209151733833,True,0.10145519849874063,True
387.0,5.047297098261648,-0.05703102289979256,False,-0.029464157576725825,False
388.0,5.034885800600817,-0.18731794614396335,False,-0.15966695178148882,False
389.0,5.0225389043331905,-0.31688333910256006,False,-0.2891577272350503,False
390.0,5.01025590809313,-0.44577408683775843,False,-0.4179401233684956,False
